,,,,,,,,,,,,,,,,
TIẾN ĐỘ VÀ ĐIỂM GHÉP BTL LẬP TRÌNH MẠNG,,,,,,,,,,,,,,,,
"Cập nhật ô vàng: hạn, trạng thái, chờ ai, bằng chứng và nghiệm thu. Chưa có thông tin thực tế nên để “Chưa cập nhật”.",,,,,,,,,,,,,,,,
Trạng thái theo phần việc tại từng mốc. “Không áp dụng” nghĩa là không có đầu ra bắt buộc tại mốc đó; vẫn làm song song phần đã phân công.,,,,,,,,,,,,,,,,
"Mốc chỉ hoàn thành khi phần bắt buộc đã xong, ghép Đạt, có bằng chứng và các mốc phụ thuộc đã đạt. Hạn để nhóm tự chốt.",,,,,,,,,,,,,,,,
"Đối chiếu yêu cầu chi tiết theo mã T/G/N/D trong Ban_giao_viec_BTL_Lap_trinh_mang.md. M3, M4, M5 được chia thành các điểm ghép .1 và .2.",,,,,,,,,,,,,,,,
Mốc,Mục tiêu chung,Hạn dự kiến,Thành — UI/client,TT Thành,Trọng — Engine,TT Trọng,Khánh — server,TT Khánh,Nhật — BUS/DB,TT Nhật,Cần có trước và bàn giao cho ai,Đầu ra bắt buộc để nghiệm thu,Đang chờ ai / cần đầu ra gì,Người xác nhận / bằng chứng,Nghiệm thu ghép,Kết luận mốc
M0,Chốt chuẩn và hợp đồng ghép,,"T01, T04: liệt kê màn hình và dữ liệu cần nhận. Gửi mẫu yêu cầu/phản hồi cho Khánh; chốt cách hiển thị dữ liệu riêng với Trọng.",Hoàn thành,"G01, G06: bàn giao Game_Rules.md, vòng đời ván, API Engine và mẫu snapshot/kết quả. Thống nhất mã người chơi, roundId với Nhật và Khánh.",Chưa cập nhật,"N01, N02: tạo khung Maven shared/server/client; Packet, PacketType, requestId, mã lỗi, cấu hình IP/cổng. Tổng hợp Protocol.md và ví dụ chạy.",Đang thực hiện,"D01, D06: phác schema, ERD và hợp đồng BUS tài khoản, lưu kết quả, tra cứu. Gửi DTO, quy tắc lỗi và kết quả mẫu; chốt dữ liệu cần lưu với Trọng.",Chưa cập nhật,Không có mốc trước. Thành giao nhu cầu UI; Trọng giao API game; Nhật giao hợp đồng BUS cho Khánh. Khánh trả bản shared và Protocol.md để cả nhóm xác nhận.,Build được ba module. Cả nhóm thống nhất hợp đồng và dữ liệu mẫu. Người nhận gọi được API mẫu; chưa cần Engine hoặc DB hoàn chỉnh.,,,Chưa thử,Chưa hoàn tất
M1,Kết nối TCP và nhận sự kiện,,"T01, T07: kết nối có timeout; một bộ Object Stream/socket; luồng nhận nền; cập nhật Swing qua EDT. Gửi nhiều Packet và hiển thị sự kiện server đẩy.",Đang thực hiện,Không có đầu ra bắt buộc ở mốc này. Có thể làm G02–G06 độc lập theo hợp đồng M0 để chuẩn bị M4.,Không áp dụng,"N01, N02, N06: nhận nhiều client; đọc/ghi Packet; gửi sự kiện chủ động. Dựng PING/PONG, timeout và đóng socket; một client lỗi không làm server dừng.",Chưa cập nhật,"Không có đầu ra bắt buộc ở mốc này. Có thể làm D01, D02, D03 với MySQL độc lập để chuẩn bị M2.",Không áp dụng,"Cần Packet và cấu hình từ M0. Khánh giao server thử, shared và ví dụ Packet cho Thành; Thành giao client thử và log gửi/nhận để Khánh đối chiếu. Không cần DB.",Nhiều client dùng cùng một kết nối để gửi/nhận liên tiếp; nhận được sự kiện không do nút bấm tạo ra. Đóng một client không làm các client khác ngừng hoạt động.,,,Chưa thử,Chưa hoàn tất
M2,Tài khoản xuyên suốt Swing–server–MySQL,,"T02: đăng ký, đăng nhập, đăng xuất. Hiển thị lỗi đúng mã; chặn thao tác cần đăng nhập khi chưa có phiên. Phần sửa hồ sơ/đổi mật khẩu ghép ở M5.2.",Chưa cập nhật,"Không có đầu ra bắt buộc ở mốc này. Tiếp tục kiểm thử G02–G06 bằng dữ liệu mẫu, không chờ đăng nhập thật.",Không áp dụng,"N03: gọi UserBUS, gắn userId vào kết nối sau xác thực; lấy danh tính từ phiên; từ chối tài khoản đã online. Dọn phiên khi logout/ngắt kết nối.",Chưa cập nhật,"D01, D02, D03, D06: script DB, cấu hình JDBC, DAL và UserBUS đăng ký/đăng nhập. Bàn giao dữ liệu thử, mã lỗi và hướng dẫn chạy trên máy khác.",Chưa cập nhật,Ghép thật cần M1. Nhật giao BUS chạy với DB cho Khánh; Khánh giao handler và phản hồi tài khoản cho Thành. Thành được dựng UI bằng mẫu từ M0.,"Đăng ký/đăng nhập từ Swing tới MySQL chạy được. Kiểm tra sai mật khẩu, trùng tên, phiên đã online và người chưa xác thực. Logout giải phóng phiên.",,,Chưa thử,Chưa cập nhật
M3.1,"Lobby, phòng chờ và quyền thao tác",,T03: danh sách phòng; tạo/vào/rời phòng; trạng thái chủ phòng và sẵn sàng. Cập nhật giao diện từ snapshot/event của server.,Chưa cập nhật,Không có bàn giao mới ở mốc này. Khánh dùng điều kiện bắt đầu đã chốt tại G01; Trọng tiếp tục Engine cho M4.,Không áp dụng,N04: quản lý phòng 2–8 người; một người tối đa một phòng; kiểm tra chủ phòng/sẵn sàng. Xử lý tranh chỗ cuối và chủ phòng rời theo quy ước.,Chưa cập nhật,"Không có đầu ra bắt buộc ở mốc này. Tiếp tục D04, D05 bằng kết quả mẫu đã chốt với Trọng.",Không áp dụng,"Ghép thật cần M2 và điều kiện bắt đầu từ G01. Khánh giao RoomSnapshot, sự kiện và mã lỗi N04 cho Thành. Chưa cần Engine chạy hoặc lưu ván.",Ít nhất bốn client chia hai phòng thấy đúng thành viên và sẵn sàng. Không vượt sức chứa khi tranh chỗ cuối; không thao tác trái quyền khi bỏ qua UI.,,,Chưa thử,Chưa cập nhật
M3.2,Chat và thông báo đúng phòng,,"T05: gửi/nhận chat văn bản, thông báo hệ thống; hiển thị người gửi và thời gian từ server. Báo lỗi độ dài/tần suất mà không treo UI.",Chưa cập nhật,Không có đầu ra bắt buộc ở mốc này. Tiếp tục G02–G06 cho M4.,Không áp dụng,N07: kiểm tra phiên và phòng; gán người gửi/thời gian; giới hạn tin nhắn theo quy ước chung. Chỉ phát chat tới đúng phòng.,Chưa cập nhật,Không có đầu ra bắt buộc ở mốc này. Chat bản đầu không lưu lâu dài; tiếp tục phần dữ liệu M5.,Không áp dụng,"Ghép thật cần phòng M3.1. Khánh giao kiểu tin, mã lỗi và handler chat cho Thành; Thành trả kịch bản thử đồng thời hai phòng. Không phụ thuộc M4/M5.","Hai phòng chat đồng thời không lẫn tin; không giả tên người gửi. Tin sai định dạng, quá dài hoặc gửi quá nhanh bị từ chối rõ ràng.",,,Chưa thử,Chưa cập nhật
M4.1,Một ván đầy đủ và chơi tiếp,,"T04: hiển thị trạng thái, dữ liệu cá nhân, thao tác hợp lệ và kết quả. Làm luồng phòng chờ → ván → kết quả → chơi tiếp theo event server.",Chưa cập nhật,"G02, G03, G04, G06: Engine khởi tạo ván, xử lý lệnh, chuyển trạng thái, chốt một kết quả. Bàn giao API chạy độc lập và test hành động hợp lệ/sai.",Chưa cập nhật,N05: gọi Engine từ N04; xử lý cập nhật một phòng theo thứ tự; gửi snapshot/event đúng người. Không đưa logic game vào handler.,Chưa cập nhật,Không có đầu ra bắt buộc cho luồng game ở mốc này. Dùng hợp đồng kết quả từ M0 để làm D04/D05; bàn giao lưu thật ở M5.1.,Không áp dụng,Cần phòng M3.1 và Engine G02–G04/G06. Trọng giao Engine cho Khánh; Khánh giao event/snapshot cho Thành. Không phải chờ chat M3.2 hoặc DB kết quả.,Chạy được bắt đầu → hành động → kết thúc → chơi tiếp. Lệnh sai người/ván/giai đoạn bị từ chối. Một ván có một kết quả; hai phòng không lẫn trạng thái.,,,Chưa thử,Chưa cập nhật
M4.2,Dữ liệu riêng và rời/mất kết nối,,"T04, T07: chỉ hiển thị dữ liệu được phép nhận; khóa thao tác cũ khi mất kết nối; thông báo rõ lý do và cho kết nối/đăng nhập lại theo bản đầu.",Chưa cập nhật,"G05, G06: snapshot riêng/công khai; xử lý người rời, hủy ván khi không đủ điều kiện. Test lệnh tới muộn và tính nhất quán kết quả.",Chưa cập nhật,"N05, N06: nối timeout/EOF/logout/leave vào đường dọn trạng thái chung; gọi Engine xử lý rời đúng một lần. Gửi dữ liệu theo quyền từng người.",Chưa cập nhật,Không có đầu ra bắt buộc ở mốc này. Dùng trạng thái FINISHED/CANCELLED đã chốt để hoàn thiện ca lưu dữ liệu tại M5.1.,Không áp dụng,"Cần luồng game M4.1, heartbeat M1 và G05. Trọng giao API rời/snapshot cho Khánh; Khánh giao sự kiện ngắt/kết thúc cho Thành. Có thể viết test riêng từ M0.","Đóng client, timeout và rời ván đều dọn đúng một lần. Không lộ dữ liệu riêng qua Packet/log; phòng khác tiếp tục chạy. Lệnh tới muộn không sửa kết quả đã chốt.",,,Chưa thử,Chưa cập nhật
M5.1,Lưu kết quả và thống kê chính xác,,Không có đầu ra UI mới bắt buộc ở mốc này. Dùng client M4.1 để hỗ trợ chạy thử; chuẩn bị màn hình lịch sử/xếp hạng bằng dữ liệu mẫu.,Không áp dụng,"G04, G06: giao kết quả thật có roundId ổn định, người tham gia, trạng thái và điểm. Đối chiếu ván thường/hòa/hủy theo luật đã chốt.",Chưa cập nhật,N08: gọi BUS lưu kết quả khi chốt ván; giữ nguyên roundId khi thử lưu lại. Ghi log lỗi và xử lý thất bại mà không làm server dừng.,Chưa cập nhật,"D04, D06: lưu ván và cập nhật thống kê trong transaction; lưu lại cùng roundId không cộng hai lần. Bàn giao test rollback và truy vấn đối chiếu.",Chưa cập nhật,BUS có thể làm/test độc lập sau M0 và D01/D02. Ghép kết quả thật cần M4.1. Trọng giao kết quả cho Khánh/Nhật; Nhật giao BUS cho Khánh. Không chờ T06.,"Đối chiếu kết quả thật với DB; thử lưu lặp, lỗi giữa transaction, ván hủy và restart server. Không ghi trùng hoặc tăng thành tích hai lần.",,,Chưa thử,Chưa cập nhật
M5.2,"Hồ sơ, lịch sử và bảng xếp hạng",,"T02, T06: xem/sửa hồ sơ, đổi mật khẩu; lịch sử và xếp hạng có phân trang. Có trạng thái đang tải, dữ liệu rỗng và lỗi.",Chưa cập nhật,Không có bàn giao mới ở mốc này. Đã chốt ý nghĩa kết quả/điểm ở G04; phối hợp khi đối chiếu dữ liệu game.,Không áp dụng,N08: handler gọi BUS hồ sơ/tra cứu; lấy userId từ phiên cho dữ liệu cá nhân; trả trang dữ liệu/mã lỗi đúng hợp đồng.,Chưa cập nhật,"D03, D05, D06: nghiệp vụ hồ sơ/đổi mật khẩu; query lịch sử và xếp hạng có thứ tự ổn định, phân trang. Bàn giao test, mẫu rỗng và dữ liệu nhiều trang.",Chưa cập nhật,Nhật giao BUS/DTO tra cứu và hồ sơ cho Khánh; Khánh giao response cho Thành. Hồ sơ cần M2; nghiệm thu lịch sử sau ván thật cần M5.1. UI/query có thể làm sớm bằng mẫu.,"UI hiển thị đúng dữ liệu đã lưu và còn đúng sau restart. Không đọc/sửa hồ sơ người khác bằng userId giả. Kiểm tra phân trang, rỗng và lỗi; sửa hồ sơ/đổi mật khẩu chạy được.",,,Chưa thử,Chưa cập nhật
M6,"Chạy LAN, đóng gói và bàn giao",,"T01–T07: đóng gói client, hướng dẫn nhập IP/cổng; rà UI và lỗi mạng. Quay demo luồng chính trên máy thứ hai.",Chưa cập nhật,"G01–G06: chốt luật/API, chạy lại các ca biên và giải thích luồng Engine. Bàn giao test và dữ liệu mẫu cho kịch bản demo.",Chưa cập nhật,"N01–N08: đóng gói server/config, hướng dẫn port/LAN và giới hạn kết nối. Tổng hợp log, kịch bản nhiều client và lỗi ngắt kết nối.",Chưa cập nhật,"D01–D06: đóng gói SQL/config mẫu, cách tạo DB và chạy test; kiểm tra cài mới trên máy khác và dữ liệu còn sau restart.",Chưa cập nhật,"Cần đạt M0–M2, cả hai phần M3, M4 và M5. Mỗi người giao bản đã ghép cùng phiên bản shared, README và bằng chứng; cả nhóm chạy lại trên máy khác.","Ít nhất bốn client, hai phòng, hai máy cùng LAN. Kiểm tra riêng một phòng tới tám người. Chạy lại theo README; đủ mã nguồn, SQL, config mẫu, test, báo cáo và kịch bản demo.",,,Chưa thử,Chưa cập nhật
